slug,name,status,detail
anno-1404-dawn-of-discovery,Anno 1404 (Dawn of Discovery),replaced,"igdb_id=662 (Dawn of Discovery), src_res=1728x1080"
aqua-racer,Aqua Racer,no_unused_screenshots,All 1 available screenshots for this game have already been tried.
banished,Banished,replaced,"igdb_id=2002 (Banished), src_res=1920x1080"
battle-realms,Battle Realms,replaced,"igdb_id=606 (Battle Realms), src_res=1024x768"
blockade-runner,Blockade Runner,replaced,"igdb_id=397236 (Blockade Runner), src_res=1920x1078"
call-of-duty-4-modern-warfare,Call of Duty 4: Modern Warfare,no_unused_screenshots,All 2 available screenshots for this game have already been tried.
catacomb-kids,Catacomb Kids,replaced,"igdb_id=17692 (Catacomb Kids), src_res=1854x1040"
theme-hospital,Theme Hospital,replaced,"igdb_id=216009 (Theme Hospital), src_res=640x480"
