slug,name,status,detail
specter,Specter,ok,"igdb_id=164046 (Specters), src_res=2560x1440"
the-incredible-machine,The Incredible Machine,ok,"igdb_id=4243 (The Incredible Machine), src_res=850x580"
mini-metro,Mini Metro,ok,"igdb_id=7767 (Mini Metro), src_res=1920x1080"
mini-motorways,Mini Motorways,ok,"igdb_id=122559 (Mini Motorways), src_res=1920x1080"
aqua-racer,Aqua Racer,ok,"igdb_id=293247 (Aqua Racer), src_res=1920x1080"
atari-2600-indy-500,Atari 2600 Indy 500,no_igdb_match,
big-rigs-over-road-racing,Big Rigs: Over Road Racing,ok,"igdb_id=7557 (Big Rigs: Over the Road Racing), src_res=800x600"
derby-owners-club,Derby Owners Club,no_screenshots,matched_igdb_id=140282 (Derby Owners Club)
gear-up,Gear Up,ok,"igdb_id=264825 (Guilty Gear: Strive - Guilty Gear 25th Anniversary: Special Additional Color Pack), src_res=1920x1080"
rennin-renees,Rennin' Renees,no_igdb_match,
south-park-rally,South Park Rally,ok,"igdb_id=1259 (South Park Rally), src_res=1280x1024"
street-racer,Street Racer,no_screenshots,matched_igdb_id=49118 (Street Racer)
turbo-cup,Turbo Cup,no_screenshots,matched_igdb_id=72328 (Turbo Cup)
big-rigs-the-yellow-cab,Big Rigs: The Yellow Cab,no_igdb_match,
chaos-wars,Chaos Wars,ok,"igdb_id=21051 (Chaos Wars), src_res=570x427"
dragonball-online,Dragonball Online,no_igdb_match,
ride-of-war,Ride of War,no_igdb_match,
too-human,Too Human,ok,"igdb_id=217001 (Human Error), src_res=1280x1024"
ultima-ix-ascension,Ultima IX: Ascension,ok,"igdb_id=7083 (Ultima IX: Ascension), src_res=1024x768"
fable-legends,Fable Legends,ok,"igdb_id=5624 (Fable Legends), src_res=1200x675"
battle-realms,Battle Realms,ok,"igdb_id=606 (Battle Realms), src_res=1024x768"
command--conquer-red-alert-2,Command & Conquer: Red Alert 2,ok,"igdb_id=245 (Command & Conquer: Red Alert 2), src_res=1024x768"
company-of-heroes-2,Company of Heroes 2,ok,"igdb_id=1369 (Company of Heroes 2), src_res=1920x1080"
dawn-of-war-ii,Dawn of War II,no_screenshots,"matched_igdb_id=256205 (Warhammer 40,000: Dawn of War II + Dawn of War II: Chaos Rising)"
dune-2000,Dune 2000,ok,"igdb_id=87 (Dune 2000), src_res=640x401"
empire-earth-ii,Empire Earth II,ok,"igdb_id=1608 (Empire Earth II), src_res=800x600"
knights--merchants,Knights & Merchants,ok,"igdb_id=10490 (Knights and Merchants: The Peasants Rebellion), src_res=1280x720"
machines,Machines,ok,"igdb_id=22821 (Machines), src_res=800x600"
real-war,Real War,no_screenshots,matched_igdb_id=27595 (Real War)
shattered-galaxy,Shattered Galaxy,no_screenshots,matched_igdb_id=73258 (Shattered Galaxy)
starcraft-ii-wings-of-liberty,StarCraft II: Wings of Liberty,ok,"igdb_id=239 (StarCraft II: Wings of Liberty), src_res=1600x1200"
starcraft-brood-war,StarCraft: Brood War,ok,"igdb_id=456 (StarCraft: Brood War), src_res=640x480"
supreme-commander,Supreme Commander,ok,"igdb_id=276 (Supreme Commander), src_res=1440x1080"
total-annihilation-kingdoms,Total Annihilation: Kingdoms,ok,"igdb_id=11614 (Total Annihilation: Kingdoms), src_res=800x600"
total-war-shogun-ii,Total War: Shogun II,ok,"igdb_id=83518 (Total War: Shogun 2 - Saints and Heroes Unit Pack), src_res=1920x1080"
warcraft-iii-the-frozen-throne,Warcraft III: The Frozen Throne,ok,"igdb_id=133 (Warcraft III: The Frozen Throne), src_res=640x480"
warhammer-40000-dawn-of-war,"Warhammer 40,000: Dawn of War",ok,"igdb_id=257 (Warhammer 40,000: Dawn of War), src_res=800x600"
z,Z,ok,"igdb_id=288327 (Pokémon Legends: Z-A), src_res=1920x1080"
age-of-empires-iv,Age of Empires IV,ok,"igdb_id=55029 (Age of Empires IV), src_res=940x530"
